일자,시가,고가,저가,종가,거래량,거래대금,수정주가구분,수정비율
2024-03-13,24800,26200,24450,25650,592264,15012,,
2024-03-12,24850,25200,23900,24500,382517,9313,,
2024-03-11,25000,26650,24800,25050,653395,16801,,
2024-03-08,25900,27500,24200,24800,880095,22227,,
2024-03-07,24700,27500,24450,25500,1663701,43600,,
2024-03-06,24350,25050,23800,23900,424181,10280,,
2024-03-05,23150,24650,23050,24550,569368,13731,,
2024-03-04,22750,24000,22750,23400,421665,9877,,
2024-02-29,23350,24450,22350,23000,921281,21384,,
2024-02-28,25300,25600,22500,23250,1300155,30539,,
2024-02-27,29150,29300,21100,24650,5155236,125283,,
2024-02-26,30000,30550,28900,29550,1316223,38912,,
2024-02-23,25300,29700,24900,29350,3700204,105587,,
2024-02-22,25000,25450,24200,25300,310788,7677,,
2024-02-21,25500,25500,24200,25000,278352,6876,,
2024-02-20,25400,25900,24800,25250,156458,3956,,
2024-02-19,27200,27500,25100,25200,410434,10640,,
2024-02-16,26100,26650,25250,26300,382855,9971,,
2024-02-15,26200,26200,24700,25850,327440,8369,,
2024-02-14,25000,26800,25000,25750,646727,16724,,
2024-02-13,23250,25950,22900,25950,820775,20408,,
2024-02-08,22550,23100,21800,22850,324015,7277,,
2024-02-07,23100,23400,22550,22550,312911,7158,,
2024-02-06,23300,24550,22650,23300,712840,16704,,
2024-02-05,23350,23550,22200,22600,483722,10989,,
2024-02-02,24000,24400,23400,23700,408623,9782,,
2024-02-01,24100,24500,22700,23600,847088,19805,,
2024-01-31,25900,26200,23950,24150,856613,21041,,
2024-01-30,26400,27100,25600,26400,358082,9447,,
2024-01-29,29900,29900,25300,26000,918700,24654,,
2024-01-26,28500,29400,28300,28750,470077,13618,,
2024-01-25,31200,31350,27000,28000,1118509,31463,,
2024-01-24,31500,31800,30500,30850,313645,9736,,
2024-01-23,28950,31850,28950,30950,847352,26197,,
2024-01-22,29000,29550,28300,28850,375318,10847,,
2024-01-19,30750,30900,28100,29000,742995,21634,,
2024-01-18,30000,30950,29400,30250,276536,8394,,
2024-01-17,30350,31850,29100,30450,678278,20718,,
2024-01-16,30700,31250,29900,30400,385809,11765,,
2024-01-15,32000,32350,30450,31000,773809,24043,,
2024-01-12,34900,34900,31700,32350,726681,23698,,
2024-01-11,33750,35150,33500,34550,389871,13423,,
2024-01-10,34650,34850,33300,34050,291795,9879,,
2024-01-09,33900,35400,33800,34600,466326,16137,,
2024-01-08,36250,36350,32900,34150,653893,22523,,
2024-01-05,36850,37650,36100,36250,689703,25420,,
2024-01-04,38050,38700,35850,36250,814375,30151,,
2024-01-03,36900,38550,36500,37200,817291,30530,,
2024-01-02,41150,41750,36350,37200,1968019,75111,,
2023-12-28,38150,40850,37200,40250,1921698,75332,,
2023-12-27,36600,38700,36600,37950,2165987,81828,4,0.00
2023-12-26,36100,38450,34950,35500,1978151,72536,,
2023-12-22,35000,35650,33950,34700,925895,32297,,
2023-12-21,31700,35800,31300,35050,2691543,92439,,
2023-12-20,32100,32550,31250,31700,409079,13012,,
2023-12-19,31450,32400,30400,32150,608968,19286,,
2023-12-18,29950,31500,29000,31000,686239,20806,,
2023-12-15,31450,31450,28250,29150,1260824,37032,,
2023-12-14,32500,32750,30400,31300,669697,21060,,
2023-12-13,33400,34500,31350,31600,801508,26168,,
2023-12-12,35250,35850,33250,33350,682829,23466,,
2023-12-11,36300,37350,35100,35650,416633,14929,,
2023-12-08,37400,37450,34500,36300,861329,30934,,
2023-12-07,36400,39550,36200,37250,1199297,45501,,
2023-12-06,37500,38950,35600,36000,566001,20891,,
2023-12-05,38750,39250,35850,37350,1265310,47582,,
2023-12-04,34550,38500,33650,38200,1389872,51125,,
2023-12-01,33850,36500,33050,35300,994993,34959,,
2023-11-30,31750,34700,31350,34400,1611458,54295,,
2023-11-29,31950,33000,30800,31400,681173,21596,,
2023-11-28,31650,32600,31600,32050,544684,17496,,
2023-11-27,34700,35000,31300,31500,1396557,44931,,
2023-11-24,36150,36850,34400,35000,1242703,44164,,
2023-11-23,31250,36500,30900,36500,2787956,97143,,
2023-11-22,31450,32500,31150,31250,339397,10735,,
2023-11-21,32200,32950,31500,31850,496293,15923,,
2023-11-20,32900,33200,31700,32500,1037217,33813,,
2023-11-17,31350,32450,30700,31350,423847,13412,,
2023-11-16,32700,32900,31000,31600,602397,19173,,
2023-11-15,32600,34650,32400,33150,923852,31053,,
2023-11-14,34300,34650,32500,32950,716439,23822,,
2023-11-13,33700,35850,33500,33600,1664662,57657,,
2023-11-10,32000,34400,31150,32800,1687219,55772,,
2023-11-09,34100,34200,31950,32500,1145936,37871,,
2023-11-08,31300,33950,30950,33000,3022292,98564,,
2023-11-07,29600,35200,27650,30950,5901732,186281,,
2023-11-06,30400,30500,26250,27900,1760358,49166,,
2023-11-03,33100,33900,29850,30400,1075892,33721,,
2023-11-02,31000,33300,30150,33050,836818,26888,,
2023-11-01,29950,30800,28500,30450,380647,11378,,
2023-10-31,29850,31200,28850,29500,746893,22493,,
2023-10-30,28800,29650,27150,28900,414553,11904,,
2023-10-27,28050,30200,27500,28550,641825,18549,,
2023-10-26,25550,31750,25500,28050,2512380,72097,,
2023-10-25,28200,28750,26400,26700,545252,14743,,
2023-10-24,28150,28400,26150,27850,725729,19787,,
2023-10-23,30000,30500,27050,27950,766198,21981,,
2023-10-20,31800,32500,29900,30450,598385,18462,,
2023-10-19,34300,35150,31750,32350,663171,22175,,
2023-10-18,38150,38350,34350,35850,711892,25904,,
2023-10-17,35100,38350,35100,37750,928793,34741,,
2023-10-16,34000,35600,32750,35400,424603,14507,,
2023-10-13,35900,36700,34300,34900,505631,17947,,
2023-10-12,36450,37650,34800,35400,852657,30776,,
2023-10-11,33400,34900,32600,34400,380360,12978,,
2023-10-10,34650,34850,32250,32700,491196,16364,,
2023-10-06,30900,33900,30900,33750,731646,24063,,
2023-10-05,31100,32250,28000,30500,685637,20842,,
2023-10-04,32750,32900,30200,30900,615648,19155,,
2023-09-27,30300,33950,30200,33650,688209,22623,,
2023-09-26,32350,33000,31000,31000,394352,12559,,
2023-09-25,32400,34150,31600,32650,523329,17293,,
2023-09-22,34600,35750,30250,32500,1975792,63894,,
2023-09-21,37450,39600,36500,36700,541080,20764,,
2023-09-20,39500,39850,37250,38500,583591,22352,,
2023-09-19,37000,40650,35600,40500,1037232,39936,,
2023-09-18,36500,37600,35300,37000,861566,31213,,
2023-09-15,39650,39800,37050,38050,791569,30267,,
2023-09-14,40550,40550,37900,39900,816623,31878,,
2023-09-13,40350,42000,39600,40850,591861,24272,,
2023-09-12,44350,44600,40000,41200,1334703,56097,,
2023-09-11,40600,46850,40600,43550,4381320,192733,,
2023-09-08,39000,42150,38300,39750,3922686,158035,,
2023-09-07,37900,38850,36100,37200,856041,31910,,
2023-09-06,37000,41300,36550,38250,2177813,85875,,
2023-09-05,37500,38250,35150,37150,1033572,37851,,
2023-09-04,35200,38250,33000,36950,1965561,69820,,
2023-09-01,39500,41450,34800,36000,2279103,86007,,
2023-08-31,45400,47150,36100,39000,4244158,176247,,
2023-08-30,41550,45700,40150,45200,2395497,104905,,
2023-08-29,38500,42200,36250,41250,1495599,59096,,
2023-08-28,38900,38900,36900,38450,542101,20496,,
2023-08-25,37300,40950,36950,38900,1423396,55964,,
2023-08-24,35750,38600,35700,38000,1064062,39904,,
2023-08-23,36750,38050,35200,36300,633711,23061,,
2023-08-22,34900,37350,34150,37000,786802,28449,,
2023-08-21,34750,37350,33800,35400,687091,24581,,
2023-08-18,36600,37800,34550,35500,927474,33311,,
2023-08-17,35050,38300,32550,37900,1611369,57437,,
2023-08-16,36550,38000,34150,34900,1079483,38415,,
2023-08-14,38100,38950,36400,37300,957824,35681,,
2023-08-11,37150,39600,34950,38700,2862418,106519,,
2023-08-10,34750,39750,33650,37800,7270644,267155,,
2023-08-09,31900,34300,30350,33550,7534430,246186,,
2023-08-08,26800,26800,24850,26450,1016908,26321,,
2023-08-07,24900,29800,24550,27350,3507066,97555,,
2023-08-04,23950,25450,23100,24550,829867,20131,,
2023-08-03,23000,24800,21300,24000,1407767,32605,,
2023-08-02,26050,26100,22850,22850,1417101,33845,,
2023-08-01,23500,26600,22900,26000,2167573,54990,,
2023-07-31,23150,24450,21500,23150,1054412,24074,,
2023-07-28,20300,23200,20300,22800,1137135,25331,,
2023-07-27,24950,25100,19100,21300,1644948,36259,,
2023-07-26,22350,25000,19900,24150,4068882,92773,,
2023-07-25,28500,28900,20750,21000,3209352,78334,,
2023-07-24,29000,30150,27100,29050,2117123,60806,,
2023-07-21,27000,30500,26400,29400,3013118,85723,,
